,tweet_id,tweet_text,sentiment,emotion,subject_type,subject,subject_stance
37,1803825088128594371,"@not_casey @JoJoFromJerz @dbongino I don't worship anything. Like at all... as for Trump not attending dignified transfers, I think he's right for staying back. Those moments aren't about him. Biden should have done the same. https://t.co/IrqAPEhAww",positive,neutral,entity,Trump,supportive
38,1803825088128594371,"@not_casey @JoJoFromJerz @dbongino I don't worship anything. Like at all... as for Trump not attending dignified transfers, I think he's right for staying back. Those moments aren't about him. Biden should have done the same. https://t.co/IrqAPEhAww",positive,neutral,event,dignified transfers,negative
39,1803825088128594371,"@not_casey @JoJoFromJerz @dbongino I don't worship anything. Like at all... as for Trump not attending dignified transfers, I think he's right for staying back. Those moments aren't about him. Biden should have done the same. https://t.co/IrqAPEhAww",positive,neutral,entity,Biden,nonsupportive
40,1803824962563641377,"Question of the day...
I'm going with a big bloody raw steak https://t.co/w6idSfQeTd",negative,anger,entity,Kamala Harris,nonsupportive
41,1803824952308568557,"racists celebrate Juneteenth by completely losing their shit @itsJeffTiedrich https://t.co/Vsighz3d3W Oh yeah, MAGA and A-Holes like Charlie Kirk aren't racist...bwahaha yeah Hell they are. Sharing this for Jeff's biting wit and this effed up video from Valentina Gomez #VoteBlue https://t.co/a5EN7auBja",positive,"anger, disgust",event,Juneteenth celebration,neutral
42,1803824952308568557,"racists celebrate Juneteenth by completely losing their shit @itsJeffTiedrich https://t.co/Vsighz3d3W Oh yeah, MAGA and A-Holes like Charlie Kirk aren't racist...bwahaha yeah Hell they are. Sharing this for Jeff's biting wit and this effed up video from Valentina Gomez #VoteBlue https://t.co/a5EN7auBja",positive,"anger, disgust",entity,racists,nonsupportive
43,1803824952308568557,"racists celebrate Juneteenth by completely losing their shit @itsJeffTiedrich https://t.co/Vsighz3d3W Oh yeah, MAGA and A-Holes like Charlie Kirk aren't racist...bwahaha yeah Hell they are. Sharing this for Jeff's biting wit and this effed up video from Valentina Gomez #VoteBlue https://t.co/a5EN7auBja",positive,"anger, disgust",entity,A-Holes (Charlie Kirk),negative
44,1803824952308568557,"racists celebrate Juneteenth by completely losing their shit @itsJeffTiedrich https://t.co/Vsighz3d3W Oh yeah, MAGA and A-Holes like Charlie Kirk aren't racist...bwahaha yeah Hell they are. Sharing this for Jeff's biting wit and this effed up video from Valentina Gomez #VoteBlue https://t.co/a5EN7auBja",positive,"anger, disgust",entity,MAGA supporters,nonsupportive
45,1803824903226896773,"About that IVF ""alternative"" GOP Senators are trying to fund. https://t.co/8sIz1uMZrY",negative,"anger, distrust, concern",entity,GOP Senators,nonsupportive
46,1803824903226896773,"About that IVF ""alternative"" GOP Senators are trying to fund. https://t.co/8sIz1uMZrY",negative,"anger, distrust, concern",event,IVF funding alternative,negative
47,1803824839397941263,"Former GOP Lt. Gov. Kerry Healey, now w/ Yang-founded Forward Party that's aiming to secure political designation in Mass, says democracy here is ""broken"" due to lack of electoral competition.

@FWD_Mass wants to be ""2nd party in Mass,"" is focused on ""grassroots politics"" #mapoli https://t.co/rObg0g2S7Y",negative,concern,entity,democracy,broken
48,1803824839397941263,"Former GOP Lt. Gov. Kerry Healey, now w/ Yang-founded Forward Party that's aiming to secure political designation in Mass, says democracy here is ""broken"" due to lack of electoral competition.

@FWD_Mass wants to be ""2nd party in Mass,"" is focused on ""grassroots politics"" #mapoli https://t.co/rObg0g2S7Y",negative,concern,event/topic,lack of electoral competition,negative
49,1803824806279754061,"If our constitutional system survives the MAGA onslaught of 2024, we’d be crazy not to follow the advice @lessig and @Matt_Seligman offer here. Ideally, we’d do so now, to reduce the threat posed this November. But odds we’ll be that sensible are sadly low
https://t.co/CmKIJKK0uh",negative,"anger, concern",event,MAGA onslaught of 2024,nonsupportive
50,1803824802039312389,"Netanyahu's leadership – and recent manufactured ""snub"" of the Biden Administration – continues to threaten the very safety of those he's charged with protecting. Israelis deserve a leader who will serve their interests, not just his own.",negative,anger,entity,Netanyahu,nonsupportive
51,1803824802039312389,"Netanyahu's leadership – and recent manufactured ""snub"" of the Biden Administration – continues to threaten the very safety of those he's charged with protecting. Israelis deserve a leader who will serve their interests, not just his own.",negative,anger,event,manufactured snub of the Biden Administration,negative
52,1803824756937961928,In Louisiana each school now required by the GOP to put up the Ten Commandments and a picture of Donald Trump... in order to show what happens visually to someone who violates all the Commandments.,negative,"anger, resentment",entity,Donald Trump,supportive
53,1803824756937961928,In Louisiana each school now required by the GOP to put up the Ten Commandments and a picture of Donald Trump... in order to show what happens visually to someone who violates all the Commandments.,negative,"anger, resentment",topic,Ten Commandments,negative
54,1803824756937961928,In Louisiana each school now required by the GOP to put up the Ten Commandments and a picture of Donald Trump... in order to show what happens visually to someone who violates all the Commandments.,negative,"anger, resentment",event,requirement to display Ten Commandments and Donald Trump picture in schools,nonsupportive
55,1803824741519700011,When your car service driver fora 2 hr ride starts off so nicely with occasional small talk about the weather and the roads and somehow it then descends into Faux News talking points that Biden has dementia and is also responsible for the weather and the roads and all the new,negative,"anger, distrust",entity,Biden,nonsupportive
56,1803824741519700011,When your car service driver fora 2 hr ride starts off so nicely with occasional small talk about the weather and the roads and somehow it then descends into Faux News talking points that Biden has dementia and is also responsible for the weather and the roads and all the new,negative,"anger, distrust",event,Faux News,negative
57,1803824648200614367,"At The Glenn Show this week I'm in conversation with my son, Glenn II. We talk about my just released memoir, LATE ADMISSIONS: CONFESSIONS OF A BLACK CONSERVATIVE, and touch on our political differences. Here is the second of two provocative clips. https://t.co/0SRafa2lLJ",neutral,NA,entity,Glenn II,supportive
58,1803824648200614367,"At The Glenn Show this week I'm in conversation with my son, Glenn II. We talk about my just released memoir, LATE ADMISSIONS: CONFESSIONS OF A BLACK CONSERVATIVE, and touch on our political differences. Here is the second of two provocative clips. https://t.co/0SRafa2lLJ",neutral,NA,entity,"myself, the author",neutral
59,1803824648200614367,"At The Glenn Show this week I'm in conversation with my son, Glenn II. We talk about my just released memoir, LATE ADMISSIONS: CONFESSIONS OF A BLACK CONSERVATIVE, and touch on our political differences. Here is the second of two provocative clips. https://t.co/0SRafa2lLJ",neutral,NA,event,The Glenn Show,neutral
60,1803824648200614367,"At The Glenn Show this week I'm in conversation with my son, Glenn II. We talk about my just released memoir, LATE ADMISSIONS: CONFESSIONS OF A BLACK CONSERVATIVE, and touch on our political differences. Here is the second of two provocative clips. https://t.co/0SRafa2lLJ",neutral,NA,entity,memoir,neutral
61,1803824599504761061,"#DIRTBAG: Trashy Anthony Mixer once again raising false-claims of stolen valor targeting Semi Bird, while dumping on the WA GOP.

Mixer is a Reichert stooge, icymi.",negative,"anger, distrust",entity,Anthony Mixer,nonsupportive
62,1803824599504761061,"#DIRTBAG: Trashy Anthony Mixer once again raising false-claims of stolen valor targeting Semi Bird, while dumping on the WA GOP.

Mixer is a Reichert stooge, icymi.",negative,"anger, distrust",event/topic,stolen valor targeting Semi Bird,negative
63,1803824599504761061,"#DIRTBAG: Trashy Anthony Mixer once again raising false-claims of stolen valor targeting Semi Bird, while dumping on the WA GOP.

Mixer is a Reichert stooge, icymi.",negative,"anger, distrust",entity,Reichert stooge,supportive
64,1803824511508263173,Americans can’t afford 4 more years of Bidenomics… https://t.co/jntSpP1HDf,negative,"anger, concern",entity,Biden,nonsupportive
65,1803824503174381584,"Here's how @RobertKennedyJr debates Trump and Biden.  He just holds a live debate on X at the same time #CNN holds its fake Trump/Biden debate on June 27 and he answers the questions!! 

I bet RFKJr participating in the debate will get more views here on X than CNN will get with https://t.co/7c73N0wyje",positive,"excitement, anger",entity,Robert Kennedy Jr.,supportive
66,1803824503174381584,"Here's how @RobertKennedyJr debates Trump and Biden.  He just holds a live debate on X at the same time #CNN holds its fake Trump/Biden debate on June 27 and he answers the questions!! 

I bet RFKJr participating in the debate will get more views here on X than CNN will get with https://t.co/7c73N0wyje",positive,"excitement, anger",event,live debate on X,positive
67,1803824503174381584,"Here's how @RobertKennedyJr debates Trump and Biden.  He just holds a live debate on X at the same time #CNN holds its fake Trump/Biden debate on June 27 and he answers the questions!! 

I bet RFKJr participating in the debate will get more views here on X than CNN will get with https://t.co/7c73N0wyje",positive,"excitement, anger",event,Trump/Biden debate on CNN,negative
68,1803824448723726583,"Donald Trump just went off!!! 🔥🔥

Fox News is trash! https://t.co/XNSaLMRiYl",negative,anger,entity,Fox News,nonsupportive
69,1803824379119251959,"TAKING BACK THE SENATE: GOP Preparing $100M Ad Blitz to Retake Upper Chamber; Report

https://t.co/19idggYWi8",positive,NA,entity,GOP,supportive
70,1803824379119251959,"TAKING BACK THE SENATE: GOP Preparing $100M Ad Blitz to Retake Upper Chamber; Report

https://t.co/19idggYWi8",positive,NA,event,Retaking the Senate,supportive
71,1803824317488365703,🇷🇺🇰🇵 They were probably making fun of Biden. https://t.co/LMo32R8aaD,negative,anger,entity,Biden,nonsupportive
72,1803824309884076125,"2.) there is a weird Pauline Kaelism among some Trump supporters that seems to be the main basis of some election denialism — as in, there’s just no way so many people voted for Biden, because no one they know did. They believe both that Trump is widely disliked but also that",negative,"anger, concern",entity,Trump supporters,nonsupportive
73,1803824309884076125,"2.) there is a weird Pauline Kaelism among some Trump supporters that seems to be the main basis of some election denialism — as in, there’s just no way so many people voted for Biden, because no one they know did. They believe both that Trump is widely disliked but also that",negative,"anger, concern",topic,election denialism,negative
74,1803824259409854509,"GE | Emerson - 6/13-18

- Trump looking really good

AZ:
Trump 47% (+4)
Biden 43%

GA:
Trump 45% (+4)
Biden 41%

MI:
Trump 46% (+1)
Biden 45%

MN:
Trump 45%
Biden 45%

NV:
Trump 46% (+3)
Biden 43%

PA:
Trump 47% (+2)
Biden 45%

WI:
Trump 47% (+3)
Biden 44%
https://t.co/1SULwDkdG9",positive,"optimism, confidence",entity,Donald Trump,supportive
75,1803824259409854509,"GE | Emerson - 6/13-18

- Trump looking really good

AZ:
Trump 47% (+4)
Biden 43%

GA:
Trump 45% (+4)
Biden 41%

MI:
Trump 46% (+1)
Biden 45%

MN:
Trump 45%
Biden 45%

NV:
Trump 46% (+3)
Biden 43%

PA:
Trump 47% (+2)
Biden 45%

WI:
Trump 47% (+3)
Biden 44%
https://t.co/1SULwDkdG9",positive,"optimism, confidence",event/topic,2024 US presidential election polls,neutral
76,1803824229369938014,"@RonFilipkowski They aren’t Flynn’s “fans,” they are a violent death cult that he has built with 8 years of psyops.

“QAnon” is just a euphemism for victims of Mike Flynn’s psychological war machine being conducted on behalf of Vladimir Putin.

It has fully merged with MAGA. It’s not a joke.",negative,"anger, distrust",entity,QAnon,nonsupportive
77,1803824229369938014,"@RonFilipkowski They aren’t Flynn’s “fans,” they are a violent death cult that he has built with 8 years of psyops.

“QAnon” is just a euphemism for victims of Mike Flynn’s psychological war machine being conducted on behalf of Vladimir Putin.

It has fully merged with MAGA. It’s not a joke.",negative,"anger, distrust",topic,MAGA,nonsupportive
78,1803824229369938014,"@RonFilipkowski They aren’t Flynn’s “fans,” they are a violent death cult that he has built with 8 years of psyops.

“QAnon” is just a euphemism for victims of Mike Flynn’s psychological war machine being conducted on behalf of Vladimir Putin.

It has fully merged with MAGA. It’s not a joke.",negative,"anger, distrust",person,Vladimir Putin,supportive
79,1803824229369938014,"@RonFilipkowski They aren’t Flynn’s “fans,” they are a violent death cult that he has built with 8 years of psyops.

“QAnon” is just a euphemism for victims of Mike Flynn’s psychological war machine being conducted on behalf of Vladimir Putin.

It has fully merged with MAGA. It’s not a joke.",negative,"anger, distrust",person,Mike Flynn,nonsupportive
80,1803824205043052622,Juan CiscoMAGA doesn’t want you to know that on page 458 of #PROJECT2025 the plan calls for the FDA to ban abortion medications: “the FDA is ethically and legally obliged to revisit and withdraw its initial approval [of chemical abortion drugs such as mifepristone]….”,negative,"anger, concern",entity,FDA,nonsupportive
81,1803824205043052622,Juan CiscoMAGA doesn’t want you to know that on page 458 of #PROJECT2025 the plan calls for the FDA to ban abortion medications: “the FDA is ethically and legally obliged to revisit and withdraw its initial approval [of chemical abortion drugs such as mifepristone]….”,negative,"anger, concern",topic,abortion medications,negative
82,1803824205043052622,Juan CiscoMAGA doesn’t want you to know that on page 458 of #PROJECT2025 the plan calls for the FDA to ban abortion medications: “the FDA is ethically and legally obliged to revisit and withdraw its initial approval [of chemical abortion drugs such as mifepristone]….”,negative,"anger, concern",event,PROJECT2025,supportive
83,1803824181756178444,"Unbeknownst to Christian nationalist MAGA-fascists, separation of church and state is in the constitution. https://t.co/6OFraeUtIJ",negative,anger,entity,Christian nationalist MAGA-fascists,nonsupportive
84,1803824181756178444,"Unbeknownst to Christian nationalist MAGA-fascists, separation of church and state is in the constitution. https://t.co/6OFraeUtIJ",negative,anger,topic,separation of church and state,supportive
85,1803824180116222013,"@dbongino Stop watching foreign-owned, anti-MAGA, globalist Fox. They aren’t in “our movement.”",negative,"anger, distrust",entity,Fox,nonsupportive
86,1803824084830257605,"Let's not forget who the real pedos are. A GOP accusation is ALWAYS projection.

#USDemocracy",negative,"anger, distrust",entity,GOP,nonsupportive
87,1803824084830257605,"Let's not forget who the real pedos are. A GOP accusation is ALWAYS projection.

#USDemocracy",negative,"anger, distrust",event,projection accusation,negative
88,1803824084830257605,"Let's not forget who the real pedos are. A GOP accusation is ALWAYS projection.

#USDemocracy",negative,"anger, distrust",topic,pedos,supportive
89,1803824075871031677,"The democrats can have 1 outlier Fox News poll that says Biden is winning the rural vote 🤡.

We will take the poll that has Trump winning all swing states including Minnesota.",negative,distrust,entity,Fox News,nonsupportive
90,1803824075871031677,"The democrats can have 1 outlier Fox News poll that says Biden is winning the rural vote 🤡.

We will take the poll that has Trump winning all swing states including Minnesota.",negative,distrust,entity,Donald Trump,supportive
91,1803824075871031677,"The democrats can have 1 outlier Fox News poll that says Biden is winning the rural vote 🤡.

We will take the poll that has Trump winning all swing states including Minnesota.",negative,distrust,event,swing states,neutral
92,1803824075871031677,"The democrats can have 1 outlier Fox News poll that says Biden is winning the rural vote 🤡.

We will take the poll that has Trump winning all swing states including Minnesota.",negative,distrust,event,Minnesota,nonsupportive
93,1803824075871031677,"The democrats can have 1 outlier Fox News poll that says Biden is winning the rural vote 🤡.

We will take the poll that has Trump winning all swing states including Minnesota.",negative,distrust,entity,Joe Biden,nonsupportive
94,1803823962297880715,"The coin landed on the Biden campaign’s pick-- tails -- which meant his campaign got to choose whether it wanted to select the president’s podium position or the order of closing statements.

Biden’s campaign chose to select the right podium position, which means he will be on",positive,NA,entity,Joe Biden,supportive
95,1803823957671338091,"“Mr. Biden has delivered blessed news for what is estimated to be 500,000 families. But I still wonder where Mr. Biden is leading the country on immigration.” - Pablo Alvarado, NDLON’s Co-Exec Dir

👉🏽https://t.co/9p9kEQZxHy",negative,"concern, distrust",entity,Donald Trump,nonsupportive
96,1803823923685110257,"""if you dont vote for biden, you're not black""
""if you vote for trump, you're not christian""

they really think they own you",negative,"anger, resentment",entity,Biden,nonsupportive
97,1803823923685110257,"""if you dont vote for biden, you're not black""
""if you vote for trump, you're not christian""

they really think they own you",negative,"anger, resentment",entity,Trump,supportive
98,1803823923685110257,"""if you dont vote for biden, you're not black""
""if you vote for trump, you're not christian""

they really think they own you",negative,"anger, resentment",topic,"voting rights, racism",negative
99,1803823905955578134,"NOTE: @SenTomCotton confirms that Netanyahu was truthful when he said Biden is withholding key weapons, ""including F-15s, tactical vehicles, 120-mm mortars, 120-mm tank rounds, joint direct attack munitions, &amp; small diameter bombs"" -- claims the White House called a lie",negative,"anger, distrust, concern",entity,Biden,nonsupportive
100,1803823905955578134,"NOTE: @SenTomCotton confirms that Netanyahu was truthful when he said Biden is withholding key weapons, ""including F-15s, tactical vehicles, 120-mm mortars, 120-mm tank rounds, joint direct attack munitions, &amp; small diameter bombs"" -- claims the White House called a lie",negative,"anger, distrust, concern",topic,withholding of key weapons by the White House,negative
101,1803823879439458743,"Rep. Mike Turner urges Biden's admin to reveal info on Russia's nuclear anti-satellite program, alerts about potential disaster.  https://t.co/BhpmJECuj2",positive,concern,entity,Russia's nuclear anti-satellite program,supportive
102,1803823879439458743,"Rep. Mike Turner urges Biden's admin to reveal info on Russia's nuclear anti-satellite program, alerts about potential disaster.  https://t.co/BhpmJECuj2",positive,concern,event,potential disaster from Russia's nuclear anti-satellite program,negative
103,1803823879439458743,"Rep. Mike Turner urges Biden's admin to reveal info on Russia's nuclear anti-satellite program, alerts about potential disaster.  https://t.co/BhpmJECuj2",positive,concern,topic,Russia's nuclear program,supportive
104,1803823876260221288,"Congressional staffer who lives in fancy gated community goes megaviral after thanking Biden for canceling his student loans
https://t.co/IulKouf80k",positive,"relief, gratitude",entity,student loans,supportive
105,1803823876260221288,"Congressional staffer who lives in fancy gated community goes megaviral after thanking Biden for canceling his student loans
https://t.co/IulKouf80k",positive,"relief, gratitude",event,Biden canceling student loans,positive
106,1803823856051794360,"Mark Dubowitz of FDD thinks Trump is more likely to reach a deal with Iran than Biden:

""Regardless of whether it’s Republicans or Democrats, we are always obsessively chasing the regime in pursuit of a deal. I don’t think Trump will be any different if he comes back to office. I https://t.co/kveIOaw3eT",positive,"support, confidence",entity,Donald Trump,likely supportive
107,1803823856051794360,"Mark Dubowitz of FDD thinks Trump is more likely to reach a deal with Iran than Biden:

""Regardless of whether it’s Republicans or Democrats, we are always obsessively chasing the regime in pursuit of a deal. I don’t think Trump will be any different if he comes back to office. I https://t.co/kveIOaw3eT",positive,"support, confidence",event,Iran deal,supportive
108,1803823805330075665,"🚨Democrats blocked my resolution calling on Biden to fire FDIC Chair Martin Gruenberg.
 
@POTUS and Senate Dems are letting a scumbag run @FDICgov for who knows how long because they care more about politics than protecting women in the workplace.
 
This should not be tolerated. https://t.co/lRWRmyY063",negative,"anger, concern",entity,Martin Gruenberg,supportive
109,1803823805330075665,"🚨Democrats blocked my resolution calling on Biden to fire FDIC Chair Martin Gruenberg.
 
@POTUS and Senate Dems are letting a scumbag run @FDICgov for who knows how long because they care more about politics than protecting women in the workplace.
 
This should not be tolerated. https://t.co/lRWRmyY063",negative,"anger, concern",event,Resolution calling on Biden to fire FDIC Chair Martin Gruenberg,positive
